file,count_sound,mean_sound,std_sound,min_sound,25%_sound,50%_sound,75%_sound,max_sound,zScore_sound,count_label,mean_label,std_label,min_label,25%_label,50%_label,75%_label,max_label,zScore_label
bowling_pic_3.jpg,5.0,1.6000000000000001,0.89442719099991574,1.0,1.0,1.0,2.0,3.0,-1.3525211879856127,9.0,4.8888888888888893,0.33333333333333276,4.0,5.0,5.0,5.0,5.0,0.65783864033772343
bowling_pic_7.jpg,5.0,1.6000000000000001,0.89442719099991574,1.0,1.0,1.0,2.0,3.0,-1.3525211879856127,9.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.82890465803324354
bowling_pic_8.jpg,20.0,4.5499999999999998,0.88704120832301658,2.0,4.75,5.0,5.0,5.0,1.4675917079058558,21.0,3.7619047619047619,0.88908727944796839,2.0,3.0,4.0,4.0,5.0,-1.0772595391454154
car_pic_1.jpg,5.0,1.8,0.83666002653407567,1.0,1.0,2.0,2.0,3.0,-1.1613270933489031,9.0,4.8888888888888893,0.33333333333333276,4.0,5.0,5.0,5.0,5.0,0.65783864033772343
car_pic_2.jpg,20.0,2.6000000000000001,1.2732056517228267,1.0,1.75,3.0,3.0,5.0,-0.39655071480206394,21.0,4.9523809523809526,0.21821789023599361,4.0,5.0,5.0,5.0,5.0,0.75559065044944929
car_pic_3.jpg,20.0,4.7999999999999998,0.61558701125109194,3.0,5.0,5.0,5.0,5.0,1.7065843262017431,21.0,2.6190476190476191,0.8646496675642964,1.0,2.0,3.0,3.0,4.0,-2.8367957211564852
car_pic_4.jpg,5.0,4.2000000000000002,1.0954451150103319,3.0,3.0,5.0,5.0,5.0,1.1330020422916141,9.0,2.6666666666666665,1.1180339887498949,1.0,2.0,3.0,3.0,4.0,-2.7634817135726908
car_pic_5.jpg,20.0,3.3500000000000001,1.3869694338832115,1.0,2.75,3.5,4.25,5.0,0.32042714008559758,21.0,3.8095238095238093,1.0779168622415933,1.0,4.0,4.0,4.0,5.0,-1.0039455315616213
car_pic_6.jpg,20.0,3.25,1.3327849749579579,1.0,2.0,3.5,4.0,5.0,0.22483009276724264,21.0,4.3809523809523814,0.74001286990095527,3.0,4.0,5.0,5.0,5.0,-0.12417744055608529
car_pic_7.jpg,5.0,1.6000000000000001,0.89442719099991574,1.0,1.0,1.0,2.0,3.0,-1.3525211879856127,9.0,4.7777777777777777,0.66666666666666552,3.0,5.0,5.0,5.0,5.0,0.48677262264220206
car_pic_8.jpg,15.0,3.1333333333333333,1.3557637102737472,1.0,2.0,3.0,4.0,5.0,0.11330020422916191,12.0,4.833333333333333,0.57735026918962729,3.0,5.0,5.0,5.0,5.0,0.57230563148996205
car_pic_9.jpg,15.0,1.3333333333333333,0.61721339984836754,1.0,1.0,1.0,1.5,3.0,-1.6074466475012259,12.0,2.5833333333333335,1.083624669450832,1.0,2.0,2.0,3.0,5.0,-2.8917812268443308
